Source:,C:\Localdata\GIT_REPO\Miscellaneous\KiCad\TrackAmplifier\TrackAmplifier.sch,,,,,,,,,,
Date:,15-5-2018 12:21,,,,,,,,,,
Tool:,Eeschema (5.0.0-rc2-dev-444-g2974a2c10),,,,,,,,,,
Generator:,C:\Localdata\GIT_REPO\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,
Component Count:,106,,,,,,,,,,
,,,,,,,,,,,
Individual Components:,,,,,,,,,,,
,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Farnell,Manufacturer nr,,,
,,R11,10E,Device:R,Resistor_SMD:R_1206_3216Metric,,,,,,
,,R12,10E,Device:R,Resistor_SMD:R_1206_3216Metric,,,,,,
,,R13,402k,Device:R,Resistor_SMD:R_1206_3216Metric,http://www.farnell.com/datasheets/2310790.pdf?_ga=2.210134357.1588585681.1526323724-1626853455.1515011571,2139646,CRCW1206402KFKEA,,,
,,R14,4k7,Device:R,Resistor_SMD:R_1206_3216Metric,,,,,,
,,R15,39k,Device:R,Resistor_SMD:R_1206_3216Metric,http://www.farnell.com/datasheets/2310790.pdf?_ga=2.246359748.1588585681.1526323724-1626853455.1515011571,2139553,CRCW120639K0FKEA,,,
,,R16,0.025E,Device:R_Shunt,Resistor_SMD:R_Shunt_2512_6332Metric_0.005-0.2,http://www.farnell.com/datasheets/2050716.pdf?_ga=2.150801142.1588585681.1526323724-1626853455.1515011571,1107432,WSK2512R0250FEA,,,
,,R17,4k99,Device:R,Resistor_SMD:R_1206_3216Metric,http://www.farnell.com/datasheets/2310790.pdf?_ga=2.212766420.1588585681.1526323724-1626853455.1515011571,1470015,CRCW12064K99FKEA,,,
,,R18,100E,Device:R,Resistor_SMD:R_1206_3216Metric,,,,,,
,,R19,10E,Device:R,Resistor_SMD:R_1206_3216Metric,,,,,,
,,R20,2k00,Device:R,Resistor_SMD:R_1206_3216Metric,http://www.farnell.com/datasheets/2310790.pdf?_ga=2.246418116.1588585681.1526323724-1626853455.1515011571,1469985,CRCW12062K00FKEA,,,
,,R21,5M11,Device:R,Resistor_SMD:R_1206_3216Metric,http://www.farnell.com/datasheets/2310790.pdf?_ga=2.154944504.1588585681.1526323724-1626853455.1515011571,2139776,CRCW12065M11FKEA,,,
,,R22,10E,Device:R,Resistor_SMD:R_1206_3216Metric,,,,,,
,,R23,100E,Device:R,Resistor_SMD:R_1206_3216Metric,,,,,,
,,R24,3K3,Device:R,Resistor_SMD:R_1206_3216Metric,http://www.farnell.com/datasheets/2310790.pdf?_ga=2.243101122.1588585681.1526323724-1626853455.1515011571,1653122,CRCW12063K30FKEA,,,
,,R25,4k7,Device:R,Resistor_SMD:R_1206_3216Metric,,,,,,
,,R26,301E,Device:R,Resistor_SMD:R_1206_3216Metric,http://www.farnell.com/datasheets/2310790.pdf?_ga=2.18263423.792852979.1526285019-1651149783.1519657816,2139391,CRCW1206301RFKEA,,,
,,R27,301E,Device:R,Resistor_SMD:R_1206_3216Metric,http://www.farnell.com/datasheets/2310790.pdf?_ga=2.55968109.792852979.1526285019-1651149783.1519657816,2139391,CRCW1206301RFKEA,,,
,,R28,330E,Device:R,Resistor_SMD:R_1206_3216Metric,http://www.farnell.com/datasheets/2310790.pdf?_ga=2.55968109.792852979.1526285019-1651149783.1519657816,1470008,CRCW1206330RFKEA,,,
,,R29,162E,Device:R,Resistor_SMD:R_1206_3216Metric,http://www.farnell.com/datasheets/2310790.pdf?_ga=2.48325984.792852979.1526285019-1651149783.1519657816,2139367,CRCW1206162RFKEA,,,
,,R30,1k,Device:R,Resistor_SMD:R_1206_3216Metric,,,,,,
,,R31,100K,Device:R,Resistor_SMD:R_1206_3216Metric,http://www.farnell.com/datasheets/2310790.pdf?_ga=2.147220983.1588585681.1526323724-1626853455.1515011571,1469975,CRCW1206100KFKEA,,,
,,R32,10K,Device:R,Resistor_SMD:R_1206_3216Metric,,,,,,
,,R33,402k,Device:R,Resistor_SMD:R_1206_3216Metric,,,,,,
,,R34,10E,Device:R,Resistor_SMD:R_1206_3216Metric,,,,,,
,,R35,162E,Device:R,Resistor_SMD:R_1206_3216Metric,http://www.farnell.com/datasheets/2310790.pdf?_ga=2.48325984.792852979.1526285019-1651149783.1519657816,2139367,CRCW1206162RFKEA,,,
,,R36,10K,Device:R,Resistor_SMD:R_1206_3216Metric,http://www.farnell.com/datasheets/2310790.pdf?_ga=2.174924386.1588585681.1526323724-1626853455.1515011571,1469970,CRCW120610K0FKEA,,,
,,R37,10E,Device:R,Resistor_SMD:R_1206_3216Metric,,,,,,
,,R38,10E,Device:R,Resistor_SMD:R_1206_3216Metric,,,,,,
,,R39,1k,Device:R,Resistor_SMD:R_1206_3216Metric,http://www.farnell.com/datasheets/2310790.pdf?_ga=2.180317540.1588585681.1526323724-1626853455.1515011571,1653077,CRCW12061K00JNEA,,,
